week,total_predicted_orders,average_predicted_orders
146,702726,216.89074074074074
147,834331,255.06909202078876
148,752848,225.94477791116446
149,760712,229.61424690612736
150,995725,303.85260909368327
151,965382,299.4361042183623
152,1001184,308.8167797655768
153,974391,298.1612607099143
154,867400,268.7112763320942
155,853537,268.57677784770294
